Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
UAE,iShares MSCI UAE ETF,16.4,$39.36M,,,,https://www.nasdaq.com/symbol/uae,
ESGU,iShares MSCI USA ESG Optimized ETF,58.4,$64.24M,,,,https://www.nasdaq.com/symbol/esgu,
IBB,iShares Nasdaq Biotechnology Index Fund,102.35,$8.35B,,,,https://www.nasdaq.com/symbol/ibb,
SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,175.78,$1.63B,,,,https://www.nasdaq.com/symbol/soxx,
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,26.18,$9.16M,,,,https://www.nasdaq.com/symbol/amca,
EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,31.065,$40.38M,,,,https://www.nasdaq.com/symbol/emif,
ICLN,iShares S&P Global Clean Energy Index Fund,9.81,$177.56M,,,,https://www.nasdaq.com/symbol/icln,
WOOD,iShares S&P Global Timber & Forestry Index Fund,80.34,$535.06M,,,,https://www.nasdaq.com/symbol/wood,
INDY,iShares S&P India Nifty 50 Index Fund,35.71,$958.81M,,,,https://www.nasdaq.com/symbol/indy,
IJT,iShares S&P Small-Cap 600 Growth ETF,177.16,$5.47B,,,,https://www.nasdaq.com/symbol/ijt,
DVY,iShares Select Dividend ETF,96.49,$16.77B,,,,https://www.nasdaq.com/symbol/dvy,
SHV,iShares Short Treasury Bond ETF,110.27,$13.95B,,,,https://www.nasdaq.com/symbol/shv,
CRED,iShares U.S. Credit Bond ETF,107.08,$1.52B,,,,https://www.nasdaq.com/symbol/cred,
PFF,iShares U.S. Preferred Stock ETF,36.99,$16.14B,,,,https://www.nasdaq.com/symbol/pff,
ISRL,"Isramco, Inc.",108.0,$293.51M,1983.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/isrl,
ITI,"Iteris, Inc.",4.88,$161.4M,,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/iti,
